lot_id,minutes_before_deadline,published_on_friday,acceptance_days,ip_collision,winner_win_rate,director_overlap,price_reduction_pct,min_bid_gap_pct,price_vs_market_pct,unique_spec_score,tz_change_hours_before,participants_count,supplier_age_days,revenue_vs_contract,address_change_days,amendment_count,subcontract_affiliation,historical_win_rate,is_corrupt,initial_price
LOT-00522,2105,0,19,0,0.24072076443485965,0,0.18961298816085437,0.12338112474831164,-0.06912394189620309,0.11121938740094191,67,14,3930,7.378990952281637,1491,0,0,0.06489792273057665,0,16779034.76045828
LOT-00738,4828,1,24,0,0.10128172214526253,0,0.10436998262222105,0.05571634926369068,0.10946496840581968,0.19643960050916276,0,10,1698,2.2366051291696945,2642,1,1,0.08290237118335221,0,3920430.6367977993
LOT-00741,1326,0,7,0,0.03455101123577542,0,0.1703980919132685,0.13950567865088698,0.099392284892165,0.17844084697920667,0,13,4930,6.365623640572839,453,2,0,0.22463615331036396,0,18203308.060720287
LOT-00661,2657,0,9,0,0.2833364235036295,0,0.19040124413800524,0.03769558410198385,-0.03737356009397176,0.29338419620131634,0,9,850,15.470636971979939,754,0,1,0.2967323753839424,0,44740352.48226686
LOT-00412,4997,0,8,0,0.07964914798088368,0,0.09272059192637251,0.07725305553728676,-0.0477560172551609,0.3541528918206658,0,3,4907,6.05033881443006,982,0,0,0.3028644262145204,0,27957234.50334273
LOT-00679,3270,0,12,0,0.2545927036430609,1,0.29001145192640654,0.09385022530881622,-0.04546398847874852,0.0873495429032277,0,9,1632,12.594788647607814,2531,0,1,0.2619102698101991,0,15660062.3866085
LOT-00627,772,0,30,0,0.27280943893454185,1,0.3226635876877604,0.05183224901622227,0.1601188142294456,0.3982138200706518,0,8,3781,19.215134105164864,2380,0,0,0.18155633616627953,0,43668230.21730567
LOT-00514,1234,0,27,1,0.3137125175953274,0,0.18122047610052566,0.03294513011204623,0.15120136339866855,0.06362126752346842,0,8,1128,3.225410029100955,1971,0,0,0.058345500271245014,0,26105215.362034444
LOT-00860,251,0,8,0,0.3206485966051855,0,0.05761872336892471,0.14123468816751025,0.09174951142722382,0.23453253104490057,0,9,2301,3.925866126187399,654,1,0,0.07077277274804694,0,49276611.50283062
LOT-00137,3815,0,20,0,0.29439547905346963,0,0.27703587273123226,0.11880053701600009,-0.0106873194691319,0.39972506771156313,0,8,3220,17.4506930717042,536,1,0,0.28268949496423207,0,27331147.266322676
LOT-00812,827,0,12,0,0.20056616849200415,0,0.1361551407526564,0.0878888808811677,-0.005765909598517582,0.18754975509757746,177,12,4193,1.9856500425689554,2634,0,0,0.24861113412965524,0,27230661.027882453
LOT-00077,3263,0,19,0,0.14996506936710705,0,0.17446907174570161,0.07153901551113222,-0.004394537365080622,0.039633249757219206,0,8,1492,2.208609035665309,2115,2,0,0.2776523464296822,0,46558360.392750606
LOT-00637,1692,1,7,0,0.35734688035951373,1,0.23777651661644233,0.03449110759079284,0.04873637817009732,0.07151806672084171,0,11,1139,18.617963734623437,1995,1,0,0.1080786513808186,0,25401582.876487065
